,HashTag,Frequency
0,#streetfood,32
1,#reelitfeelit,26
2,#reels,26
3,#reelsinstagram,25
4,#foodblogger,23
5,#food,22
6,#jammufoodblogger,20
7,#reelkarofeelkaro,20
8,#explore,20
9,#foodieincarnate,18
10,#foodie,15
11,#indianstreetfood,15
12,#jammufood,15
13,#kashmir,13
14,#indianblogger,13
15,#tasty,12
16,#jammu,11
17,#jammutourism,11
18,#jammuuniversity,11
19,#oyefoodiesingh,10
20,#reasi,10
21,#katra,10
22,#foodineerishita,10
23,#chandigarhstreetfood,10
24,#foodies,10
25,#udhampur,10
26,#foodiesince96,10
27,#mumbaistreetfood,10
28,#delhistreetfood,10
29,#placestoeat,10
30,#delhifoodblogger,10
31,#foodpandits,10
32,#kashmirfoodgram,9
33,#indiatourguide,9
34,#tourguide,9
35,#yummy,9
36,#foodiepragun,8
37,#chennaifoodblogger,8
38,#punestreetfood,8
39,#kolkatastreetfood,8
40,#foodreels,8
41,#chandigarh,8
42,#foodporn,8
43,#cheapest,7
44,#indianfood,7
45,#ramzan,6
46,#instafood,6
47,#instagood,6
48,#foodgasm,6
49,#jammufoods,6
50,#foodpic,5
51,#foodstagram,5
52,#viral,5
53,#chai,4
54,#foodart,4
55,#foods,4
56,#momos,4
57,#morning,4
58,#unique,4
59,#jammublogger,4
60,#recipe,4
61,#breakfast,4
62,#dessert,4
63,#paneer,4
64,#funny,4
65,#happy,4
66,#reelsindia,4
67,#comedy,3
68,#golgappe,3
69,#indore,3
70,#desifood,3
71,#oote,3
72,#chinese,3
73,#jammuties,3
74,#zirakpur,3
75,#hardwork,3
76,#old,3
77,#chandigarhblogger,3
78,#foodaholic,3
79,#instagram,3
80,#insta,3
81,#support,3
82,#delicious,3
83,#momo,3
84,#creative,3
85,#dessertporn,3
86,#streetfoodindia,3
87,#laugh,3
88,#daily,3
89,#thali,3
90,#réel,2
91,#corruption,2
92,#surat,2
93,#samosa,2
94,#ludhiana,2
95,#soulfood,2
96,#rajmachawal,2
97,#jammustreetfood,2
98,#offer,2
99,#foodrooaster,2
100,#comedyvideos,2
101,#desi,2
102,#platter,2
103,#momolover,2
104,#weddingfoods,2
105,#jammuwedding,2
106,#famous,2
107,#foodaddict,2
108,#reelsviral,2
109,#hardworking,2
110,#panipuri,2
111,#reelskarofeelkaro,2
112,#bangladesh,2
113,#breadpakoda,2
114,#delhifoodcrush,2
115,#weareexpecting,2
116,#ballimalai,2
117,#mithai,2
118,#atta,2
